 On 2022/6/20 ,,,,,,,,,,,,
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,13,37,49,1042,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1052,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1069,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1079,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1089,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1099,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1109,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1119,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1129,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1146,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1156,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1166,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1176,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1186,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1196,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1206,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1224,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1234,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1244,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1254,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1264,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1274,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1284,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1302,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1312,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1322,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1332,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1342,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1352,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1362,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1380,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1390,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1400,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1410,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1420,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1430,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1440,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1498,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1508,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1518,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1528,-0.31,1.49,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1538,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1548,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1558,-0.31,1.49,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1575,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1585,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1595,-0.32,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1605,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1615,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1625,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1635,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1652,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1662,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1672,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1682,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1692,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1702,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1712,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1730,-0.31,1.48,1.2,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1740,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,49,1750,-0.31,1.48,1.21,5126.6616,526.7372,21.66,245.03,14.7
data,13,37,50,1760,-0.31,1.48,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1770,-0.31,1.48,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1780,-0.31,1.48,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1790,-0.31,1.49,1.2,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1808,-0.31,1.48,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1818,-0.31,1.49,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1828,-0.31,1.48,1.21,5126.6591,526.7283,21.66,245.03,14.8
data,13,37,50,1838,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1849,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1859,-0.31,1.49,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1869,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1886,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1896,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1906,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1916,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1926,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1936,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1946,-0.31,1.49,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1963,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1973,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1983,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,1993,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2003,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2013,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2023,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2045,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2053,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2063,-0.31,1.49,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2073,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2083,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2093,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2103,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2152,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2161,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2171,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2181,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2191,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2201,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2211,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2228,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2238,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2248,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2258,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2268,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2278,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2288,-0.32,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2305,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2315,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2325,-0.31,1.48,1.2,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2335,-0.31,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2345,-0.31,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2355,-0.32,1.49,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2365,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
data,13,37,50,2382,-0.32,1.48,1.21,5126.6591,526.7283,22.15,244.83,14.8
