 On 2022/6/20 
-,h,m,s,ms,x,y,z,Lat,Lon,Speed,Angle,Altitude
data,0,0,0,792,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,802,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,812,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,822,-0.11,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,832,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,842,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,858,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,868,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,878,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,888,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,898,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,908,-0.11,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,918,-0.12,1.48,1.08,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,928,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,938,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,0,0,0,954,-0.12,1.48,1.09,0.0000,0.0000,0.00,0.00,0.00
data,13,55,12,964,-0.12,1.48,1.09,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,974,-0.11,1.48,1.09,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,984,-0.12,1.48,1.08,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,994,-0.12,1.48,1.09,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,1004,-0.12,1.48,1.08,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,1014,-0.12,1.48,1.08,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,1026,-0.12,1.48,1.08,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,1044,-0.12,1.48,1.09,5126.9052,529.2201,0.00,0.00,22.10
data,13,55,12,1053,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1063,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1073,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1083,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1093,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1103,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1120,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1130,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1140,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1150,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1160,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1170,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1180,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1198,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1208,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1218,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1228,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1238,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1248,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1258,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1276,-0.11,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1286,-0.12,1.48,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1296,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1306,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1316,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1326,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1336,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1354,-0.11,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1364,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1374,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1384,-0.12,1.49,1.08,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1394,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
data,13,55,12,1404,-0.12,1.48,1.09,5126.9052,529.2201,0.00,97.82,22.10
